Altitude (km),O (kg/m3),N2 (kg/m3),O2 (kg/m3),Total (kg/m3),Neutral Temp. (K),He (kg/m3),Ar (kg/m3),H (kg/m3),N (kg/m3),H2 (kg/m3)
328,0.0,0.0,0.0,0.0,0.0008741988646662625,1.8159430822714343e-6,0.0,0.0,0.0,3.244863295133769e-5
329,0.0,0.0,0.0,0.0,0.0008424133823546777,1.7499161986258933e-6,0.0,0.0,0.0,3.126881507419643e-5
330,0.0,0.0,0.0,0.0,0.0008117836060576117,1.686290023133875e-6,0.0,0.0,0.0,3.0131894850873427e-5
331,0.0,0.0,0.0,0.0,0.0007822675148178563,1.6249772671135517e-6,0.0,0.0,0.0,2.9036312541735278e-5
332,0.0,0.0,0.0,0.0,0.0007538246155415427,1.5658938156607941e-6,0.0,0.0,0.0,2.7980565118588813e-5
333,0.0,0.0,0.0,0.0,0.0007264158874456977,1.5089586122520023e-6,0.0,0.0,0.0,2.6963204202677966e-5
334,0.0,0.0,0.0,0.0,0.0007000037285256857,1.4540935475427728e-6,0.0,0.0,0.0,2.598283407765492e-5
335,0.0,0.0,0.0,0.0,0.0006745519039690493,1.401223352209752e-6,0.0,0.0,0.0,2.5038109774798006e-5
336,0.0,0.0,0.0,0.0,0.0006500254964450125,1.3502754936887417e-6,0.0,0.0,0.0,2.4127735227850703e-5
337,0.0,0.0,0.0,0.0,0.0006263908582014365,1.3011800766673587e-6,0.0,0.0,0.0,2.3250461494949863e-5
338,0.0,0.0,0.0,0.0,0.0006036155649034956,1.253869747195714e-6,0.0,0.0,0.0,2.2405085045203413e-5
339,0.0,0.0,0.0,0.0,0.0005816683711507768,1.2082796002836201e-6,0.0,0.0,0.0,2.1590446107567934e-5
340,0.0,0.0,0.0,0.0,0.0005605191676117394,1.164347090857487e-6,0.0,0.0,0.0,2.080542707975972e-5
