Altitude (km),Total (kg/m3),Neutral Temp. (K),Pressure (Pa),C (kg/m3),N2 (kg/m3),CH3 (kg/m3),C2H4 (kg/m3),He (kg/m3),H (kg/m3),CH4 (kg/m3),C2H6 (kg/m3),Ar (kg/m3),C2H2 (kg/m3),C3H4 (kg/m3),H2 (kg/m3)
64.5,0.007635,135.8708149787116,3473.0,0.0,9.747977201547127e-6,0.0,0.0,0.0020577361935085075,0.0,0.00020455017568833902,0.0,3.6162390156280546e-6,0.0,0.0,0.005359349414585979
65.5,0.007264,136.67136043655037,3300.0,0.0,9.25730743664858e-6,0.0,0.0,0.0019576005383033454,0.0,0.00019441849113551685,0.0,3.431188054339812e-6,0.0,0.0,0.005099292475070148
66.5,0.006892,137.47499219831647,3135.0,0.0,8.767068908637388e-6,0.0,0.0,0.0018572097383071347,0.0,0.0001842791700451557,0.0,3.246609014865805e-6,0.0,0.0,0.004838497413724207
67.5,0.006399,138.15393971189042,2981.0,0.0,8.12348814580718e-6,0.0,0.0,0.0017242555657020337,0.0,0.00017092010203837888,0.0,3.0056206774131086e-6,0.0,0.0,0.004492695223436367
68.5,0.006019,138.81304192750912,2838.0,0.0,7.625954357616798e-6,0.0,0.0,0.0016217671904159602,0.0,0.00016060733360033627,0.0,2.8191026516119735e-6,0.0,0.0,0.004226180418974474
69.5,0.005593,139.47144833759563,2702.0,0.0,7.072207364172827e-6,0.0,0.0,0.0015068972343643063,0.0,0.00014908923644952045,0.0,2.6121441526359524e-6,0.0,0.0,0.003927329177669365
70.5,0.005345,140.11692142502886,2575.0,0.0,6.745514112398723e-6,0.0,0.0,0.0014399972305863672,0.0,0.00014233714182095646,0.0,2.489373326095227e-6,0.0,0.0,0.003753430740154182
71.5,0.005118,140.75676426881083,2455.0,0.0,6.4466210398066236e-6,0.0,0.0,0.0013787628089659077,0.0,0.00013615814164443145,0.0,2.377076415374624e-6,0.0,0.0,0.00359425535193448
72.5,0.0049,141.40966401764652,2338.0,0.0,6.159882768716512e-6,0.0,0.0,0.0013199579574303237,0.0,0.00013022719835327807,0.0,2.269395372965404e-6,0.0,0.0,0.0034413855660747165
73.5,0.004668,141.9594019686204,2227.0,0.0,5.856283296793153e-6,0.0,0.0,0.0012573888234000922,0.0,0.0001239275577335846,0.0,2.155460323670357e-6,0.0,0.0,0.0032786718752458597
74.5,0.00444,142.51057797118963,2121.0,0.0,5.558872698363004e-6,0.0,0.0,0.0011959041219110735,0.0,0.00011774709328360112,0.0,2.0440137999519973e-6,0.0,0.0,0.0031187458983070104
75.5,0.004219,143.05641402319623,2021.0,0.0,5.271502187456453e-6,0.0,0.0,0.001136312512365549,0.0,0.00011176645182234236,0.0,1.9364875223546547e-6,0.0,0.0,0.0029637130461022967
76.5,0.003924,143.60057610200923,1926.0,0.0,4.893027404444603e-6,0.0,0.0,0.0010567985073601117,0.0,0.00010384056893849385,0.0,1.7957358588402574e-6,0.0,0.0,0.00275667216043811
77.5,0.003662,144.12299574519295,1839.0,0.0,4.557490429045887e-6,0.0,0.0,0.0009861828492547936,0.0,9.680795338632718e-5,0.0,1.6710585590752207e-6,0.0,0.0,0.002572780648370758
78.5,0.003467,144.63928434528182,1756.0,0.0,4.306302136973639e-6,0.0,0.0,0.0009336124597095332,0.0,9.155767064588882e-5,0.0,1.5774907075457687e-6,0.0,0.0,0.002435946076800059
79.5,0.003263,145.0879359136228,1678.0,0.0,4.04347870201366e-6,0.0,0.0,0.0008785788627324213,0.0,8.606812964791343e-5,0.0,1.479680277330088e-6,0.0,0.0,0.002292829848640321
80.5,0.003068,145.53329152421955,1604.0,0.0,3.793047534547149e-6,0.0,0.0,0.0008259813608846524,0.0,8.082929811740015e-5,0.0,1.3866112718344055e-6,0.0,0.0,0.002156009682191566
81.5,0.002888,145.96746962216727,1535.0,0.0,3.5624613891664375e-6,0.0,0.0,0.0007774357293513012,0.0,7.599965554403648e-5,0.0,1.3010126627539547e-6,0.0,0.0,0.0020297011410527425
82.5,0.002741,146.40143399335884,1469.0,0.0,3.3735140121957544e-6,0.0,0.0,0.0007377831929624586,0.0,7.204845546362162e-5,0.0,1.2307759650500002e-6,0.0,0.0,0.0019265640615966737
83.5,0.00258,146.820222967094,1408.0,0.0,3.168457777167541e-6,0.0,0.0,0.0006943740536122611,0.0,6.774136912739612e-5,0.0,1.1548477967473728e-6,0.0,0.0,0.0018135612716864275
84.5,0.002449,147.24291272938285,1349.0,0.0,3.0009786900431387e-6,0.0,0.0,0.0006590466693105606,0.0,6.422988839931353e-5,0.0,1.0927383030623743e-6,0.0,0.0,0.00172162972529702
85.5,0.002332,147.65393788369175,1294.0,0.0,2.851509930680177e-6,0.0,0.0,0.0006274957594101128,0.0,6.109482618279367e-5,0.0,1.0373283830039552e-6,0.0,0.0,0.0016395205760934093
86.5,0.002221,148.07319564383855,1241.0,0.0,2.709543906132066e-6,0.0,0.0,0.0005975887934961502,0.0,5.81173187877827e-5,0.0,9.84656432491089e-7,0.0,0.0,0.0015615996873774437
87.5,0.002113,148.4888637338232,1191.0,0.0,2.571752780022507e-6,0.0,0.0,0.0005685054342306587,0.0,5.5223317717370855e-5,0.0,9.335797921618865e-7,0.0,0.0,0.001485765915479786
88.5,0.002017,148.90466008663063,1143.0,0.0,2.4491611834038976e-6,0.0,0.0,0.0005426530259098197,0.0,5.264955359038529e-5,0.0,8.88123053708629e-7,0.0,0.0,0.0014183601362626824
89.5,0.001929,149.31985299368716,1097.0,0.0,2.3368288173066264e-6,0.0,0.0,0.0005189550821375064,0.0,5.02906873462434e-5,0.0,8.46480394139489e-7,0.0,0.0,0.001356570921304804
90.5,0.001846,149.7240238168513,1054.0,0.0,2.2311899296268003e-6,0.0,0.0,0.0004966048139875724,0.0,4.8069292239569834e-5,0.0,8.073709853039729e-7,0.0,0.0,0.0012982873328579272
91.5,0.001764,150.13503899785246,1012.0,0.0,2.1271436148377405e-6,0.0,0.0,0.00047452507102590407,0.0,4.587821177950978e-5,0.0,7.689043610841726e-7,0.0,0.0,0.0012407006692186642
92.5,0.001689,150.54890089682445,971.4,0.0,2.031955876271977e-6,0.0,0.0,0.0004543300185291043,0.0,4.387384930140054e-5,0.0,7.337118039616347e-7,0.0,0.0,0.0011880304644892614
93.5,0.00162,150.95657297944103,933.0,0.0,1.944469639568831e-6,0.0,0.0,0.0004357508635645155,0.0,4.2030758124396596e-5,0.0,7.013827245362787e-7,0.0,0.0,0.0011395725259469827
94.5,0.001553,151.39541163247415,896.2,0.0,1.8594215848433914e-6,0.0,0.0,0.00041771617907336426,0.0,4.0239335980904765e-5,0.0,6.699096942376773e-7,0.0,0.0,0.0010925151536666498
95.5,0.001489,151.83746628434736,860.9,0.0,1.7783321800785626e-6,0.0,0.0,0.0004004900594197456,0.0,3.8529731096460976e-5,0.0,6.399255242227039e-7,0.0,0.0,0.0010475619517794923
96.5,0.001435,152.28072368097077,826.9,0.0,1.7095384763216348e-6,0.0,0.0,0.00038595447805115073,0.0,3.7082884779041836e-5,0.0,6.144296382201999e-7,0.0,0.0,0.0010096386690552656
97.5,0.001383,152.7231886089541,794.3,0.0,1.6434627752631123e-6,0.0,0.0,0.00037195765324621544,0.0,3.5691527115872836e-5,0.0,5.899712047640284e-7,0.0,0.0,0.0009731173856578843
98.5,0.001333,153.16832449220976,762.8,0.0,1.5800540770470583e-6,0.0,0.0,0.0003584994543490019,0.0,3.4355076394693935e-5,0.0,5.665228196580942e-7,0.0,0.0,0.000937998892359599
99.5,0.001284,153.61419941589102,732.5,0.0,1.5181304389135593e-6,0.0,0.0,0.0003453109537111553,0.0,3.304780488216527e-5,0.0,5.436610085808566e-7,0.0,0.0,0.0009035794499591849
100.5,0.001241,154.0648229886527,703.1,0.0,1.4635460425493496e-6,0.0,0.0,0.00033373666962442693,0.0,3.1897743520066014e-5,0.0,5.234720806095194e-7,0.0,0.0,0.0008733785687323481
101.5,0.0012,154.51946662515408,675.0,0.0,1.411531383878881e-6,0.0,0.0,0.00032270015820593114,0.0,3.080127577492149e-5,0.0,5.042355748393174e-7,0.0,0.0,0.0008445827990604291
102.5,0.001159,154.9993202034203,647.6,0.0,1.3595256688158179e-6,0.0,0.0,0.00031166190344381474,0.0,2.970427820230306e-5,0.0,4.849911826817705e-7,0.0,0.0,0.0008157893015023848
103.5,0.001121,155.48126577393293,621.2,0.0,1.3112907042600406e-6,0.0,0.0,0.0003014311528696169,0.0,2.868708449692921e-5,0.0,4.6713918671965825e-7,0.0,0.0,0.0007891033327424743
104.5,0.00108,155.96663632136705,595.7,0.0,1.2597892017312938e-6,0.0,0.0,0.0002903944792794265,0.0,2.759593414442026e-5,0.0,4.481690157327778e-7,0.0,0.0,0.0007603016283586891
