Altitude (km),Total (kg/m3),Neutral Temp. (K),Pressure (Pa),C (kg/m3),N2 (kg/m3),CH3 (kg/m3),C2H4 (kg/m3),He (kg/m3),H (kg/m3),CH4 (kg/m3),C2H6 (kg/m3),Ar (kg/m3),C2H2 (kg/m3),C3H4 (kg/m3),H2 (kg/m3)
79.5,0.003263,145.0879359136228,1678.0,0.0,3.623887410437555e-6,0.0,0.0,0.0008792425913092133,0.0,8.180156770365371e-5,0.0,1.4806273506261828e-6,0.0,0.0,0.0022968513262260687
80.5,0.003068,145.53329152421955,1604.0,0.0,3.399653169029963e-6,0.0,0.0,0.0008265937648394225,0.0,7.68219962823678e-5,0.0,1.3874759713212839e-6,0.0,0.0,0.0021597971097378583
81.5,0.002888,145.96746962216727,1535.0,0.0,3.193174208141064e-6,0.0,0.0,0.0007780015067785584,0.0,7.223139241224561e-5,0.0,1.3018031242427894e-6,0.0,0.0,0.0020332721234768117
82.5,0.002741,146.40143399335884,1469.0,0.0,3.0239950218864316e-6,0.0,0.0,0.0007383100280476695,0.0,6.84757222686788e-5,0.0,1.2315040317901141e-6,0.0,0.0,0.0019299587506299756
83.5,0.00258,146.820222967094,1408.0,0.0,2.840348776956639e-6,0.0,0.0,0.0006948607320313462,0.0,6.43818697902079e-5,0.0,1.1555130924836777e-6,0.0,0.0,0.0018167615363090055
84.5,0.002449,147.24291272938285,1349.0,0.0,2.690370478534267e-6,0.0,0.0,0.0006594998138543995,0.0,6.104420333222438e-5,0.0,1.0933507668531874e-6,0.0,0.0,0.0017246722615679886
85.5,0.002332,147.65393788369175,1294.0,0.0,2.5565176406638558e-6,0.0,0.0,0.0006279190882231288,0.0,5.806432867247746e-5,0.0,1.0378940516017542e-6,0.0,0.0,0.0016424221714121277
86.5,0.002221,148.07319564383855,1241.0,0.0,2.4293045110276532e-6,0.0,0.0,0.0005979926950785671,0.0,5.523482433453243e-5,0.0,9.851921628573956e-7,0.0,0.0,0.001564357983913015
87.5,0.002113,148.4888637338232,1191.0,0.0,2.3057894917853682e-6,0.0,0.0,0.0005688947433098771,0.0,5.248495619889559e-5,0.0,9.340936407670223e-7,0.0,0.0,0.001488380417358675
88.5,0.002017,148.90466008663063,1143.0,0.0,2.195899614691827e-6,0.0,0.0,0.0005430294694442686,0.0,5.0039386714228694e-5,0.0,8.886175083998049e-7,0.0,0.0,0.0014208466267184112
89.5,0.001929,149.31985299368716,1097.0,0.0,2.095205794910416e-6,0.0,0.0,0.00051931970843439,0.0,4.7798007367220554e-5,0.0,8.469570224430842e-7,0.0,0.0,0.0013589401213810358
90.5,0.001846,149.7240238168513,1054.0,0.0,2.000510696880195e-6,0.0,0.0,0.0004969580444129805,0.0,4.56872222762896e-5,0.0,8.078305701120995e-7,0.0,0.0,0.0013005463920437376
91.5,0.001764,150.13503899785246,1012.0,0.0,1.9072418948059735e-6,0.0,0.0,0.00047486678426350424,0.0,4.3605211535621315e-5,0.0,7.693468734276014e-7,0.0,0.0,0.0012428514154326409
92.5,0.001689,150.54890089682445,971.4,0.0,1.821914117604789e-6,0.0,0.0,0.0004546612283622421,0.0,4.170062651735274e-5,0.0,7.341387009021206e-7,0.0,0.0,0.0011900820923018982
93.5,0.00162,150.95657297944103,933.0,0.0,1.7434897126502198e-6,0.0,0.0,0.00043607234711217355,0.0,3.9949276399854515e-5,0.0,7.017951818392351e-7,0.0,0.0,0.0011415330915934823
