Particle Name,Weight,Energy (keV),Pitch Angle (deg),Unit Momentum x,Unit Momentum y,Unit Momentum z,Position x (m),Position y (m),Position z (m)
e-,1,29.1281,130.93,-0.59724,0.182375,0.781053,-180.53,158.019,451000
gamma,0.01,17.7461,143.128,-0.429673,-0.278484,0.858969,-253088,-121101,451000
gamma,0.01,49.334,158.764,-0.187155,0.141353,0.972107,-155672,62763,451000
gamma,0.01,31.6325,170.668,0.183177,0.176864,0.967039,3069.37,67254.2,451000
e-,1,136.799,110.5,0.253002,-0.916585,0.309616,265.249,65.4916,451000
e-,1,77.6846,104.507,0.0464708,0.968811,0.243405,310.419,-54.3139,451000
e-,1,60.8184,149.569,-0.108477,0.427324,0.897567,330.185,-112.387,451000
e-,1,73.6437,126.481,-0.509117,0.501871,0.699232,267.141,-108.565,451000
e-,1,95.1452,105.23,0.320122,0.925365,0.203031,163.481,-24.8716,451000
e-,1,85.6616,119.252,-0.763797,0.0439064,0.643961,272.163,22.6372,451000
e-,1,18.5585,153.005,0.413377,0.381211,0.826921,144.708,-12.6662,451000
e-,1,57.3025,146.175,0.325376,-0.527157,0.785007,193.252,91.9948,451000
e-,1,43.0591,164.245,-0.075869,-0.0826811,0.993684,142.578,-3.0966,451000
e-,1,77.9834,147.035,0.611193,0.283456,0.738983,29.3707,39.9489,451000
e-,1,20.4719,135.704,0.37117,0.657484,0.655704,135.371,149.095,451000
gamma,0.01,28.6285,134.127,-0.589144,0.228206,0.775133,-349134,108584,451000
gamma,0.01,20.0985,124.709,-0.28343,0.798725,0.530759,-265264,557702,451000
gamma,0.01,21.313,159.882,0.278717,-0.352871,0.893196,48646.8,-147231,451000
gamma,0.01,6.26927,160.228,0.015167,-0.325556,0.945401,-61178.7,-128417,451000
e-,1,99.7669,165.055,0.0776931,-0.232255,0.969547,163.897,-80.975,451000
e-,1,83.6922,124.079,-0.497883,0.552198,0.668723,261.892,-24.4728,451000
e-,1,57.8972,126.187,-0.67081,0.133733,0.729472,126.183,-72.219,451000
e-,1,130.139,121.964,-0.678927,-0.299949,0.670141,260.512,-61.9138,451000
e-,1,143.551,137.581,0.761822,0.231746,0.604914,93.4673,-10.8623,451000
e-,1,32.3908,146.682,-0.383653,-0.0424379,0.922502,367.073,77.5731,451000
e-,1,111.578,159.055,0.102693,0.353379,0.929826,211.97,-34.2473,451000
e-,1,11.2581,134.464,0.420619,0.652126,0.630723,48.6747,-136.879,451000
e-,1,127.847,94.9086,-0.40704,0.898812,0.162653,267.695,-5.09883,451000
e-,1,127.847,94.9088,-0.403436,-0.899621,0.167097,319.503,-4.99607,451000
gamma,0.01,7.14187,128.921,-0.565743,0.486309,0.665912,-382785,270555,451000
gamma,0.01,58.8917,161.651,0.51495,0.0351896,0.856497,140463,67454.4,451000
gamma,0.01,31.9466,162.912,0.0907391,0.311925,0.945764,-2528.88,129825,451000
gamma,0.01,55.0703,138.357,-0.569618,-0.0774506,0.818252,-325805,-35794.8,451000
gamma,0.01,26.1098,151.308,-0.195835,0.386763,0.901145,-172333,218837,451000
gamma,0.01,28.9162,154.163,-0.287199,-0.132343,0.948684,-224277,-20270.1,451000
gamma,0.01,6.32256,136.168,0.420314,0.691416,0.587605,190328,419013,451000
gamma,0.01,27.5813,142.728,0.7376,0.291464,0.609094,367125,170001,451000
gamma,0.01,95.8058,143.666,0.723253,-0.28733,0.62797,345992,-163873,451000
gamma,0.01,62.7596,124.064,-0.739005,-0.31735,0.594273,-575562,-173305,451000
gamma,0.01,38.967,134.77,-0.201335,0.68703,0.698179,-192635,340779,451000
