Altitude (km),Total Energy Deposition (keV),Ionizing Energy Deposition (keV),Electron Production (counts)
499km-500km,0.0023011,0.0023011,0
500km-501km,0.00250687,0.00250687,0
501km-502km,0.00242589,0.00242589,0
502km-503km,0.00219757,0.00219757,0
503km-504km,0.00206439,0.00206439,0
504km-505km,0.00200886,0.00200886,0
505km-506km,0.00198002,0.00198002,0
506km-507km,0.00196023,0.00196023,0
507km-508km,0.00204321,0.00204321,0
508km-509km,0.00207847,0.00207847,0
509km-510km,0.0019057,0.0019057,0
510km-511km,0.00195301,0.00195301,0
511km-512km,0.00198121,0.00198121,0
512km-513km,0.0021276,0.0021276,0
513km-514km,0.00190109,0.00190109,0
514km-515km,0.00209825,0.00209825,0
515km-516km,0.00196994,0.00196994,0
516km-517km,0.001912,0.001912,0
517km-518km,0.00182274,0.00182274,0
518km-519km,0.00189381,0.00189381,0
519km-520km,0.00180725,0.00180725,0
520km-521km,0.00187178,0.00187178,0
521km-522km,0.00194899,0.00194899,0
522km-523km,0.00204373,0.00204373,0
523km-524km,0.00203964,0.00203964,0
524km-525km,0.00195405,0.00195405,0
525km-526km,0.00182556,0.00182556,0
526km-527km,0.00173647,0.00173647,0
527km-528km,0.00167053,0.00167053,0
528km-529km,0.00169207,0.00169207,0
529km-530km,0.00169065,0.00169065,0
530km-531km,0.00168736,0.00168736,0
531km-532km,0.00159115,0.00159115,0
532km-533km,0.00159202,0.00159202,0
533km-534km,0.00157833,0.00157833,0
534km-535km,0.00147191,0.00147191,0
535km-536km,0.00157378,0.00157378,0
536km-537km,0.00180491,0.00180491,0
537km-538km,0.00184229,0.00184229,0
538km-539km,0.00177119,0.00177119,0
539km-540km,0.00168929,0.00168929,0
540km-541km,0.00170642,0.00170642,0
541km-542km,0.00180985,0.00180985,0
542km-543km,0.00168973,0.00168973,0
543km-544km,0.00165685,0.00165685,0
544km-545km,0.00160238,0.00160238,0
545km-546km,0.00167356,0.00167356,0
546km-547km,0.00173861,0.00173861,0
547km-548km,0.00164586,0.00164586,0
548km-549km,0.00155942,0.00155942,0
549km-550km,0.00133201,0.00133201,0
550km-551km,0.00139137,0.00139137,0
551km-552km,0.0014172,0.0014172,0
552km-553km,0.00148194,0.00148194,0
553km-554km,0.00145079,0.00145079,0
554km-555km,0.0015593,0.0015593,0
555km-556km,0.00141309,0.00141309,0
556km-557km,0.0012517,0.0012517,0
557km-558km,0.00122848,0.00122848,0
558km-559km,0.00123633,0.00123633,0
559km-560km,0.00117416,0.00117416,0
560km-561km,0.00113174,0.00113174,0
561km-562km,0.00107397,0.00107397,0
562km-563km,0.00111555,0.00111555,0
563km-564km,0.00109776,0.00109776,0
564km-565km,0.0011444,0.0011444,0
565km-566km,0.0010583,0.0010583,0
566km-567km,0.00109107,0.00109107,0
567km-568km,0.00118761,0.00118761,0
